iter	Passed	Remaining
309	456	1016
310	458	1014
311	458	1012
312	459	1008
313	460	1005
314	460	1002
315	461	998
316	462	995
317	463	994
318	464	991
319	465	989
320	466	986
321	466	982
322	467	979
323	468	976
324	469	974
325	472	976
326	473	973
327	473	970
328	474	967
329	475	965
330	478	966
331	479	963
332	479	960
333	480	957
334	481	955
335	482	953
336	483	951
337	484	949
338	485	946
339	485	943
340	486	940
341	488	938
342	488	935
343	490	934
344	490	931
345	491	929
346	492	926
347	493	924
348	494	921
349	495	920
350	496	918
351	497	915
352	497	912
353	498	909
354	499	907
355	500	905
356	501	903
357	502	900
358	503	898
359	503	895
360	504	893
361	506	892
362	507	890
363	508	888
364	508	885
365	509	883
366	510	880
367	511	878
368	513	877
369	513	874
370	514	872
371	515	869
372	515	866
373	516	864
374	517	862
375	518	860
376	520	859
377	520	857
378	521	854
379	522	851
380	522	849
381	524	848
382	525	845
383	526	844
384	526	841
385	527	838
386	528	836
387	528	833
388	529	831
389	530	830
390	532	829
391	533	827
392	533	824
393	534	822
394	536	821
395	539	822
396	539	819
397	540	817
398	542	816
399	542	814
400	543	811
401	544	809
402	544	806
403	545	804
404	546	802
405	547	800
406	549	800
407	549	797
408	550	795
409	551	793
410	552	792
411	554	791
412	557	791
413	557	789
414	558	787
415	559	785
416	561	784
417	562	783
418	563	780
419	563	778
420	564	776
421	565	774
422	566	772
423	567	770
424	568	768
425	568	766
426	569	764
427	570	762
428	571	760
429	572	759
430	573	757
431	574	755
432	575	753
433	575	750
434	576	748
435	577	746
436	578	745
437	579	743
438	580	741
439	580	739
440	581	737
441	582	735
442	582	732
443	584	731
444	585	730
445	587	729
446	587	727
447	588	725
448	589	722
449	589	720
450	590	719
451	594	721
452	595	718
453	597	718
454	598	717
455	599	715
456	599	712
457	600	710
458	601	708
459	601	706
460	603	705
461	604	703
462	605	701
463	605	699
464	606	697
465	607	695
466	607	693
467	622	707
468	623	705
469	625	705
470	627	704
471	627	702
472	628	700
473	629	698
474	630	697
475	631	695
476	632	693
477	632	691
